Price,Close,Volume,Daily_Return,MA_7,MA_30,Volatility_7
Ticker,TCS.NS,TCS.NS,,,,
Date,,,,,,
2020-01-01,2167.60009765625,1354908,,,,
2020-01-02,2157.64990234375,2380752,-0.4590420217852387,,,
2020-01-03,2200.64990234375,4655761,1.9929090420689244,,,
2020-01-06,2200.449951171875,3023209,-0.009086005532366048,,,
2020-01-07,2205.85009765625,2429317,0.24541101157511402,,,
2020-01-08,2255.25,5197454,2.2394949863654867,,,
2020-01-09,2214.35009765625,3734173,-1.8135418398736336,2200.257149832589,,
2020-01-10,2213.550048828125,1915807,-0.0361301868648467,2206.8214285714284,,1.4072294768405995
2020-01-13,2190.35009765625,2843893,-1.048087942902276,2211.4928850446427,,1.476679704329135
2020-01-14,2206.89990234375,2948452,0.7555780560015934,2212.3857421875,,1.2922442230272273
2020-01-15,2226.89990234375,2620681,0.9062486240884793,2216.164306640625,,1.33126689727927
2020-01-16,2238.800048828125,3117214,0.5343817417141405,2220.8714425223216,,1.338152857578939
2020-01-17,2219.10009765625,3281059,-0.8799334796417702,2215.7071707589284,,1.0395078966328362
2020-01-20,2170.35009765625,5817599,-2.196836458683782,2209.421456473214,,1.1421059370750162
2020-01-21,2171.050048828125,1902980,0.032250611209261315,2203.350027901786,,1.144835445138276
2020-01-22,2206.89990234375,1773686,1.6512679445126466,2205.714285714286,,1.2854144713728604
2020-01-23,2190.949951171875,2069866,-0.7227310651894969,2203.435721261161,,1.2840127649595858
2020-01-24,2183.39990234375,1319430,-0.34460161100835496,2197.221435546875,,1.2058687814990883
2020-01-27,2169.25,1549101,-0.648067370918215,2187.285714285714,,1.155324668021177
2020-01-28,2183.75,1743024,0.6684337904805826,2182.2357003348216,,1.2051222660461283
2020-01-29,2154.60009765625,2306761,-1.3348552876359498,2179.9857003348216,,0.9956395824390045
2020-01-30,2137.85009765625,2098567,-0.777406443925277,2175.242850167411,,1.024363353868113
2020-01-31,2079.050048828125,3287223,-2.750428989038478,2156.978585379464,,1.038411863081971
2020-02-03,2102.5,4728073,1.1279166263983287,2144.3428780691966,,1.2816102739706334
2020-02-04,2107.75,3509339,0.24970273483948535,2133.5357491629466,,1.3189338219617561
2020-02-05,2146.550048828125,2439322,1.8408278414482337,2130.292898995536,,1.580349542332691
2020-02-06,2128.35009765625,2640065,-0.8478698729531553,2122.3786272321427,,1.5548796384715302
2020-02-07,2136.550048828125,2083442,0.3852726664144601,2119.800048828125,,1.5096686118844034
2020-02-10,2161.949951171875,2383032,1.18882786563701,2123.2428850446427,,1.5473060990436969
2020-02-11,2153.39990234375,1335820,-0.39547857356690974,2133.8642926897323,2176.0533447265625,0.9452233223803218
2020-02-12,2170.75,1620407,0.8057071813445393,2143.6142926897323,2176.158341471354,0.9173838136706182
2020-02-13,2191.949951171875,1645948,0.9766187341644583,2155.6428571428573,2177.3016764322915,0.9305276216585784
