Date,Close,Volume,Daily_Return,MA_7,MA_30,EMA_12,EMA_26,MACD,MACD_Signal,RSI,Volatility
2020-02-11,2153.39990234375,1335820,-0.003954785735669097,2133.8642926897323,2176.0533447265625,2146.774608217598,2159.5489781081296,-12.774369890531489,-12.768159781719557,40.60413504497783,1.2093191963371175
2020-02-12,2170.75,1620407,0.008057071813445393,2143.6142926897323,2176.158341471354,2150.4631300302754,2160.3786834334533,-9.91555340317791,-12.197638506011229,46.469772542059026,1.2050490597406727
2020-02-13,2191.949951171875,1645948,0.009766187341644583,2155.6428571428573,2177.3016764322915,2156.845717898214,2162.7172958585215,-5.871577960307604,-10.932426396870504,51.426197796827594,1.2216447569388287
2020-02-14,2184.199951171875,1500115,-0.0035356646696502736,2161.021414620536,2176.7533447265623,2161.054061478777,2164.3086036595105,-3.2545421807335515,-9.396849553643113,52.54814362317018,1.2095354185019884
2020-02-17,2203.25,1774724,0.00872175132954478,2171.7214006696427,2176.8466796875,2167.5457443281957,2167.1931515365836,0.35259279161209633,-7.446961084592072,53.2729114455195,1.1169431310476736
2020-02-18,2215.75,2486223,0.005673436968115286,2183.0356794084823,2177.1766764322915,2174.9617836623192,2170.7899551264663,4.17182853585291,-5.123203160503076,60.87109375,1.1221056537701126
2020-02-19,2196.35009765625,1760463,-0.008755456321223098,2187.9499860491073,2175.213346354167,2178.2522935075394,2172.6832990175612,5.568994489978195,-2.984763630406822,60.3029271086482,1.080680031400107
2020-02-20,2156.800048828125,2317278,-0.018007169654022492,2188.435721261161,2173.2950113932293,2174.951948172245,2171.506761966492,3.445186205753089,-1.6987736631748398,64.68921758735652,1.142757877168532
2020-02-24,2115.35009765625,3092877,-0.019218263275910252,2180.5214494977677,2170.0216796875,2165.782432708246,2167.347009054622,-1.5645763463762705,-1.671934199815126,52.27314737236705,1.2146968198804575
2020-02-25,2156.14990234375,2674567,0.019287495120881015,2175.407156808036,2168.8816731770835,2164.300504959862,2166.5175937427057,-2.2170887828438026,-1.7809651164208615,57.605271355419056,1.2933294078183324
2020-02-26,2123.60009765625,2686842,-0.015096262394427296,2166.7500348772323,2166.105013020833,2158.038903836229,2163.3385199585236,-5.2996161222945375,-2.484695317595597,46.32152737831101,1.323454833176205
2020-02-27,2105.5,2349001,-0.008523307978854588,2152.7857491629466,2162.058349609375,2149.9559955537325,2159.054185146781,-9.098189593048573,-3.8073941726861924,46.33635942304922,1.3046219844438451
2020-02-28,2000.1500244140625,4298076,-0.05003560939726315,2121.98575265067,2154.103348795573,2126.9089230707064,2147.283506573987,-20.37458350328052,-7.120832038805058,33.32516545914447,1.7009575929772598
2020-03-02,2001.300048828125,2667076,0.0005749690773317884,2094.1214599609375,2146.8433471679687,2107.58448087954,2136.4699171113302,-28.88543623179021,-11.473752877402088,29.122806460926384,1.6026973207140773
2020-03-03,2036.199951171875,2757585,0.01743861564595761,2076.8928745814733,2142.3716756184895,2096.6022455398993,2129.042512226926,-32.440266687026906,-15.667055639327053,35.74555308504725,1.6347105385637957
2020-03-04,2083.199951171875,3237002,0.0230822125169734,2072.2999965122767,2139.4433390299478,2094.540354098665,2125.646766963589,-31.106412864924096,-18.75492708444646,40.06804925469864,1.723414090260647
2020-03-05,2125.050048828125,3937056,0.020089333063159742,2067.857160295759,2136.715010579427,2099.2341532878127,2125.6025656202214,-26.368412332408752,-20.27762413403892,42.75033030970537,1.733472385335345
2020-03-06,2116.449951171875,2595027,-0.004047009462667783,2066.835710797991,2134.2316772460936,2101.882737577668,2124.924594179603,-23.041856601934796,-20.830470627618098,42.671710569749784,1.7253599537582167
2020-03-09,1972.3499755859375,4940975,-0.06808569959622701,2047.8142787388392,2127.1966796875,2081.9546203481714,2113.622770580072,-31.668150231900654,-22.99800654847461,30.342231466472015,2.2939723999548556
2020-03-11,1953.699951171875,6796449,-0.009455737898910188,2041.1785539899554,2120.011678059896,2062.2231327825875,2101.7766358090944,-39.55350302650686,-26.30910584408106,27.921461100803455,2.2669585944489783
2020-03-12,1769.8499755859375,8728786,-0.09410348578637162,2008.1142578125,2106.215010579427,2017.242647060026,2077.1894757925643,-59.94682873253828,-33.03665042177251,21.863026407235637,3.0202941469275815
2020-03-13,1806.300048828125,8029720,0.020595007342427474,1975.2714146205358,2094.605008951823,1984.7899396397336,2057.123592313717,-72.33365267398335,-40.89605087221468,26.781922979887824,3.0708249981778555
2020-03-16,1696.4000244140625,7844271,-0.06084261830439652,1920.0142822265625,2079.8900065104167,1940.4222603742458,2030.4033280248536,-89.98106765060788,-50.71305422789332,24.555108693379637,3.248326512861896
